Title,Year,Duration,Content Rating,Rating,Votes
The Shawshank Redemption,1994,2h 22m,R,9.3, (3.1M)
The Godfather,1972,2h 55m,R,9.2, (2.2M)
The Dark Knight,2008,2h 32m,PG-13,9.1, (3.1M)
The Godfather Part II,1974,3h 22m,R,9.0, (1.5M)
12 Angry Men,1957,1h 36m,Approved,9.0, (947K)
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0, (2.1M)
Schindler's List,1993,3h 15m,R,9.0, (1.5M)
Pulp Fiction,1994,2h 34m,R,8.8, (2.4M)
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9, (2.1M)
"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8, (867K)
Forrest Gump,1994,2h 22m,PG-13,8.8, (2.4M)
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8, (1.9M)
Fight Club,1999,2h 19m,R,8.8, (2.5M)
Inception,2010,2h 28m,PG-13,8.8, (2.7M)
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7, (1.5M)
The Matrix,1999,2h 16m,R,8.7, (2.2M)
Goodfellas,1990,2h 25m,R,8.7, (1.3M)
Interstellar,2014,2h 49m,PG-13,8.7, (2.4M)
One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7, (1.1M)
Se7en,1995,2h 7m,R,8.6, (1.9M)
It's a Wonderful Life,1946,2h 10m,PG,8.6, (534K)
The Silence of the Lambs,1991,1h 58m,R,8.6, (1.7M)
Seven Samurai,1954,3h 27m,Not Rated,8.6, (390K)
Saving Private Ryan,1998,2h 49m,R,8.6, (1.6M)
The Green Mile,1999,3h 9m,R,8.6, (1.5M)
City of God,2002,2h 10m,R,8.6, (848K)
Life Is Beautiful,1997,1h 56m,PG-13,8.6, (789K)
Terminator 2: Judgment Day,1991,2h 17m,R,8.6, (1.2M)
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6, (1.5M)
Back to the Future,1985,1h 56m,PG,8.5, (1.4M)
Spirited Away,2001,2h 4m,PG,8.6, (929K)
The Pianist,2002,2h 30m,R,8.5, (983K)
Gladiator,2000,2h 35m,R,8.5, (1.8M)
Parasite,2019,2h 12m,R,8.5, (1.1M)
Psycho,1960,1h 49m,R,8.5, (763K)
The Lion King,1994,1h 28m,G,8.5, (1.2M)
Grave of the Fireflies,1988,1h 28m,Not Rated,8.5, (361K)
The Departed,2006,2h 31m,R,8.5, (1.5M)
Whiplash,2014,1h 46m,R,8.5, (1.1M)
Harakiri,1962,2h 13m,Not Rated,8.6, (83K)
The Prestige,2006,2h 10m,PG-13,8.5, (1.5M)
American History X,1998,1h 59m,R,8.5, (1.2M)
Léon: The Professional,1994,1h 50m,R,8.5, (1.3M)
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5, (479K)
Casablanca,1942,1h 42m,PG,8.5, (639K)
Cinema Paradiso,1988,2h 54m,PG,8.5, (306K)
The Intouchables,2011,1h 52m,R,8.5, (993K)
The Usual Suspects,1995,1h 46m,R,8.5, (1.2M)
Alien,1979,1h 57m,R,8.5, (1M)
Modern Times,1936,1h 27m,G,8.5, (277K)
Rear Window,1954,1h 52m,PG,8.5, (554K)
Django Unchained,2012,2h 45m,R,8.5, (1.8M)
Once Upon a Time in the West,1968,2h 46m,PG-13,8.5, (374K)
City Lights,1931,1h 27m,G,8.5, (209K)
Apocalypse Now,1979,2h 27m,R,8.4, (751K)
WALL·E,2008,1h 38m,G,8.4, (1.3M)
Memento,2000,1h 53m,R,8.4, (1.4M)
Dune: Part Two,2024,2h 46m,PG-13,8.5, (664K)
Raiders of the Lost Ark,1981,1h 55m,PG,8.4, (1.1M)
Avengers: Infinity War,2018,2h 29m,PG-13,8.4, (1.3M)
The Lives of Others,2006,2h 17m,R,8.4, (432K)
Sunset Boulevard,1950,1h 50m,Approved,8.4, (252K)
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4, (750K)
Witness for the Prosecution,1957,1h 56m,Approved,8.4, (153K)
Paths of Glory,1957,1h 28m,Approved,8.4, (230K)
The Shining,1980,2h 26m,R,8.4, (1.2M)
The Great Dictator,1940,2h 5m,G,8.4, (252K)
Inglourious Basterds,2009,2h 33m,R,8.4, (1.7M)
12th Fail,2023,2h 27m,,8.7, (156K)
Aliens,1986,2h 17m,R,8.4, (819K)
The Dark Knight Rises,2012,2h 44m,PG-13,8.4, (1.9M)
Coco,2017,1h 45m,PG,8.4, (667K)
Amadeus,1984,2h 40m,PG,8.4, (454K)
Avengers: Endgame,2019,3h 1m,PG-13,8.4, (1.4M)
Good Will Hunting,1997,2h 6m,R,8.3, (1.2M)
Toy Story,1995,1h 21m,G,8.3, (1.1M)
High and Low,1963,2h 23m,Not Rated,8.4, (64K)
Oldboy,2003,2h,R,8.3, (692K)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3, (543K)
Das Boot,1981,2h 29m,,8.4, (282K)
Braveheart,1995,2h 58m,R,8.3, (1.1M)
Your Name.,2016,1h 46m,,8.4, (369K)
Princess Mononoke,1997,2h 13m,PG-13,8.3, (468K)
American Beauty,1999,2h 2m,R,8.3, (1.3M)
3 Idiots,2009,2h 50m,PG-13,8.4, (467K)
Joker,2019,2h 2m,R,8.3, (1.6M)
Capernaum,2018,2h 6m,R,8.4, (119K)
Once Upon a Time in America,1984,3h 49m,R,8.3, (400K)
Singin' in the Rain,1952,1h 43m,G,8.3, (276K)
Come and See,1985,2h 22m,Not Rated,8.3, (116K)
Requiem for a Dream,2000,1h 42m,NC-17,8.3, (950K)
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3, (1.2M)
Toy Story 3,2010,1h 43m,G,8.3, (944K)
The Hunt,2012,1h 55m,R,8.3, (395K)
Ikiru,1952,2h 23m,Not Rated,8.3, (99K)
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3, (1.2M)
Incendies,2010,2h 11m,R,8.3, (236K)
The Apartment,1960,2h 5m,Approved,8.3, (212K)
Lawrence of Arabia,1962,3h 47m,PG,8.3, (333K)
2001: A Space Odyssey,1968,2h 29m,G,8.3, (763K)
Reservoir Dogs,1992,1h 39m,R,8.3, (1.1M)
Scarface,1983,2h 50m,R,8.3, (984K)
Heat,1995,2h 50m,R,8.3, (773K)
Double Indemnity,1944,1h 47m,Approved,8.3, (177K)
North by Northwest,1959,2h 16m,Approved,8.3, (364K)
Up,2009,1h 36m,PG,8.3, (1.2M)
M,1931,1h 39m,Passed,8.3, (179K)
Citizen Kane,1941,1h 59m,PG,8.2, (486K)
Full Metal Jacket,1987,1h 56m,R,8.2, (832K)
Vertigo,1958,2h 8m,PG,8.2, (450K)
Amélie,2001,2h 2m,R,8.3, (825K)
Like Stars on Earth,2007,2h 42m,PG,8.3, (224K)
A Separation,2011,2h 3m,PG-13,8.3, (272K)
To Kill a Mockingbird,1962,2h 9m,Approved,8.3, (346K)
Die Hard,1988,2h 12m,R,8.2, (1M)
Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2, (847K)
The Sting,1973,2h 9m,PG,8.2, (293K)
A Clockwork Orange,1971,2h 16m,R,8.2, (920K)
Metropolis,1927,2h 33m,Not Rated,8.3, (197K)
Snatch,2000,1h 42m,R,8.2, (956K)
Oppenheimer,2023,3h,R,8.3, (936K)
1917,2019,1h 59m,R,8.2, (742K)
L.A. Confidential,1997,2h 18m,R,8.2, (647K)
Downfall,2004,2h 36m,R,8.2, (393K)
Bicycle Thieves,1948,1h 29m,Not Rated,8.2, (188K)
Dangal,2016,2h 41m,Not Rated,8.3, (232K)
The Wolf of Wall Street,2013,3h,R,8.2, (1.7M)
Green Book,2018,2h 10m,PG-13,8.2, (652K)
The Chaos Class Failed the Class,1975,1h 35m,,8.6, (28K)
The Truman Show,1998,1h 43m,PG,8.2, (1.3M)
Hamilton,2020,2h 40m,PG-13,8.3, (132K)
Taxi Driver,1976,1h 54m,R,8.2, (995K)
Batman Begins,2005,2h 20m,PG-13,8.2, (1.7M)
For a Few Dollars More,1965,2h 12m,R,8.2, (293K)
Judgment at Nuremberg,1961,2h 59m,Approved,8.3, (93K)
Shutter Island,2010,2h 18m,R,8.2, (1.6M)
Some Like It Hot,1959,2h 1m,Approved,8.2, (299K)
Jurassic Park,1993,2h 7m,PG-13,8.2, (1.1M)
The Kid,1921,1h 8m,Passed,8.2, (143K)
The Father,2020,1h 37m,PG-13,8.2, (219K)
All About Eve,1950,2h 18m,Approved,8.2, (146K)
There Will Be Blood,2007,2h 38m,R,8.2, (682K)
The Sixth Sense,1999,1h 47m,PG-13,8.2, (1.1M)
Ran,1985,2h 40m,R,8.2, (147K)
Casino,1995,2h 58m,R,8.2, (601K)
Top Gun: Maverick,2022,2h 10m,PG-13,8.2, (802K)
No Country for Old Men,2007,2h 2m,R,8.2, (1.1M)
The Thing,1982,1h 49m,R,8.2, (507K)
Unforgiven,1992,2h 10m,R,8.2, (459K)
Pan's Labyrinth,2006,1h 58m,R,8.2, (732K)
Kill Bill: Vol. 1,2003,1h 51m,R,8.2, (1.3M)
A Beautiful Mind,2001,2h 15m,PG-13,8.2, (1M)
Prisoners,2013,2h 33m,R,8.2, (893K)
The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2, (139K)
Finding Nemo,2003,1h 40m,G,8.2, (1.2M)
Yojimbo,1961,1h 50m,Not Rated,8.2, (140K)
Howl's Moving Castle,2004,1h 59m,PG,8.2, (493K)
The Best of Youth,2003,6h 14m,R,8.4, (26K)
The Great Escape,1963,2h 52m,Approved,8.2, (272K)
Monty Python and the Holy Grail,1975,1h 31m,PG,8.2, (593K)
The Elephant Man,1980,2h 4m,PG,8.2, (276K)
Klaus,2019,1h 36m,PG,8.2, (219K)
Dial M for Murder,1954,1h 45m,PG,8.2, (200K)
Gone with the Wind,1939,3h 58m,G,8.2, (350K)
The Secret in Their Eyes,2009,2h 9m,R,8.2, (236K)
Chinatown,1974,2h 10m,R,8.1, (369K)
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1, (640K)
V for Vendetta,2005,2h 12m,R,8.1, (1.2M)
Rashomon,1950,1h 28m,Not Rated,8.1, (192K)
Inside Out,2015,1h 35m,PG,8.1, (883K)
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1, (591K)
Catch Me If You Can,2002,2h 21m,PG-13,8.1, (1.2M)
Trainspotting,1996,1h 33m,R,8.1, (756K)
The Bridge on the River Kwai,1957,2h 41m,PG,8.1, (245K)
Raging Bull,1980,2h 9m,R,8.1, (400K)
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1, (1M)
Fargo,1996,1h 38m,R,8.1, (765K)
The Wild Robot,2024,1h 42m,PG,8.2, (196K)
Warrior,2011,2h 20m,PG-13,8.1, (520K)
Dead Poets Society,1989,2h 8m,PG,8.1, (610K)
Million Dollar Baby,2004,2h 12m,PG-13,8.1, (753K)
Gran Torino,2008,1h 56m,R,8.1, (847K)
Ben-Hur,1959,3h 32m,G,8.1, (266K)
Mad Max: Fury Road,2015,2h,R,8.1, (1.2M)
Barry Lyndon,1975,3h 5m,PG,8.1, (197K)
My Neighbor Totoro,1988,1h 26m,G,8.1, (416K)
Children of Heaven,1997,1h 29m,PG,8.2, (87K)
Hacksaw Ridge,2016,2h 19m,R,8.1, (652K)
The Grand Budapest Hotel,2014,1h 39m,R,8.1, (940K)
12 Years a Slave,2013,2h 14m,R,8.1, (772K)
Before Sunrise,1995,1h 41m,R,8.1, (365K)
Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2, (976K)
Blade Runner,1982,1h 57m,R,8.1, (863K)
Memories of Murder,2003,2h 12m,Not Rated,8.1, (251K)
Gone Girl,2014,2h 29m,R,8.1, (1.1M)
Ratatouille,2007,1h 51m,G,8.1, (905K)
How to Train Your Dragon,2010,1h 38m,PG,8.1, (866K)
"Monsters, Inc.",2001,1h 32m,G,8.1, (1M)
Jaws,1975,2h 4m,PG,8.1, (715K)
In the Name of the Father,1993,2h 13m,R,8.1, (199K)
Wild Tales,2014,2h 2m,R,8.1, (232K)
The Gold Rush,1925,1h 35m,Approved,8.1, (126K)
Ford v Ferrari,2019,2h 32m,PG-13,8.1, (541K)
Sherlock Jr.,1924,45m,Passed,8.1, (63K)
Mary and Max,2009,1h 32m,Not Rated,8.1, (198K)
The Deer Hunter,1978,3h 3m,R,8.1, (379K)
The Wages of Fear,1953,2h 36m,Not Rated,8.1, (72K)
The General,1926,1h 18m,Passed,8.1, (104K)
Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1, (127K)
Logan,2017,2h 17m,R,8.1, (903K)
On the Waterfront,1954,1h 48m,Approved,8.1, (174K)
Rocky,1976,2h,PG,8.1, (670K)
Wild Strawberries,1957,1h 32m,Not Rated,8.1, (122K)
Tokyo Story,1953,2h 17m,Not Rated,8.1, (75K)
The Third Man,1949,1h 44m,Approved,8.1, (192K)
Maharaja,2024,2h 21m,,8.4, (74K)
Spotlight,2015,2h 9m,R,8.1, (524K)
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1, (1.3M)
The Terminator,1984,1h 47m,R,8.1, (977K)
The Big Lebowski,1998,1h 57m,R,8.1, (899K)
La haine,1995,1h 38m,Not Rated,8.1, (217K)
Jai Bhim,2021,2h 44m,Approved,8.6, (229K)
The Seventh Seal,1957,1h 36m,Not Rated,8.1, (211K)
Room,2015,1h 58m,R,8.1, (472K)
Hotel Rwanda,2004,2h 1m,PG-13,8.1, (387K)
Platoon,1986,2h,R,8.1, (462K)
The Best Years of Our Lives,1946,2h 50m,Approved,8.1, (76K)
Before Sunset,2004,1h 20m,R,8.1, (307K)
The Sound of Music,1965,2h 52m,G,8.1, (281K)
The Exorcist,1973,2h 2m,R,8.1, (485K)
The Incredibles,2004,1h 55m,PG,8.0, (871K)
Hachi: A Dog's Tale,2009,1h 33m,G,8.1, (333K)
Rush,2013,2h 3m,R,8.1, (544K)
The Wizard of Oz,1939,1h 42m,G,8.1, (456K)
A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.1, (128K)
The Passion of Joan of Arc,1928,1h 54m,Passed,8.1, (66K)
Stand by Me,1986,1h 29m,R,8.1, (472K)
The Iron Giant,1999,1h 26m,PG,8.1, (250K)
My Father and My Son,2005,1h 52m,Not Rated,8.2, (99K)
The Handmaiden,2016,2h 25m,Not Rated,8.1, (193K)
Network,1976,2h 1m,R,8.1, (182K)
The Battle of Algiers,1966,2h 1m,Not Rated,8.1, (73K)
The Grapes of Wrath,1940,2h 9m,Approved,8.1, (106K)
To Be or Not to Be,1942,1h 39m,Approved,8.1, (48K)
Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2, (110K)
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,TV-MA,8.2, (90K)
Into the Wild,2007,2h 28m,R,8.0, (685K)
The Help,2011,2h 26m,PG-13,8.1, (519K)
Lost Ladies,2023,2h 2m,TV-14,8.3, (54K)
Drishyam,2015,2h 43m,Not Rated,8.2, (104K)
